City,Latitude,Longitude,Temperature,Humidity,Windspeed,Cloudiness,Max Temp
daliao,5.8611,124.9533,26.8,77,3.31,100,26.8
ciudad dario,12.7314,-86.124,28.0,47,3.62,20,28.0
luanda,-8.8368,13.2343,26.0,89,2.06,40,26.0
sumenep,-7.0167,113.8667,25.74,78,2.55,5,25.74
caravelas,-17.7125,-39.2481,26.59,71,2.54,69,26.59
atuona,-9.8,-139.0333,27.08,72,9.16,0,27.08
nhulunbuy,-12.2333,136.7667,25.0,78,2.06,98,25.0
vitoria do mearim,-3.4622,-44.8706,28.76,76,1.82,100,28.76
marawi,7.9986,124.2928,24.44,90,2.68,91,24.44
coahuayana,18.7333,-103.6833,30.0,30,3.68,40,30.0
gaogou,34.0175,119.1886,13.44,95,3.72,100,13.44
college,64.8569,-147.8028,7.86,42,0.46,20,9.0
puerto leguizamo,-0.1934,-74.7819,29.22,77,0.73,100,29.22
anadyr,64.75,177.4833,0.0,93,7.0,75,0.0
san giustino,43.5495,12.1736,13.85,38,4.63,18,15.0
fukue,32.6881,128.8419,16.53,80,4.94,1,16.53
nacala,-14.5428,40.6728,23.13,96,3.06,97,23.13
nuuk,64.1835,-51.7216,3.94,70,3.6,20,4.0
cape town,-33.9258,18.4232,16.08,82,5.14,0,17.22
pangnirtung,66.1451,-65.7125,1.0,75,5.14,1,1.0
carballo,43.213,-8.691,16.89,77,1.03,20,18.0
acapulco,16.8634,-99.8901,32.0,43,4.12,90,32.0
ponta do sol,32.6667,-17.1,16.74,59,3.09,20,19.0
aksu,41.1231,80.2644,13.45,30,2.0,6,13.45
bambous virieux,-20.3428,57.7575,26.05,83,7.72,75,26.11
lata,40.1629,-8.3327,17.81,88,1.96,78,18.33
mako,46.2167,20.4833,10.48,50,2.57,13,11.0
sobolevo,54.4299,31.8996,1.67,77,4.69,95,1.67
lebu,-37.6167,-73.65,14.21,69,7.79,0,14.21
kissidougou,9.1848,-10.0999,21.84,85,6.06,96,21.84
muzhi,65.3667,64.6667,0.61,91,1.78,7,0.61
mehamn,71.0357,27.8492,0.39,72,4.04,100,0.39
kathu,7.9178,98.3332,29.5,83,3.09,20,30.56
srandakan,-7.9386,110.2506,24.08,82,1.49,15,24.08
krasnoselkup,65.7,82.4667,0.36,98,3.37,100,0.36
rogers,36.3668,-95.5836,17.18,67,3.6,90,20.0
mormugao,15.4,73.8,29.0,70,2.57,20,29.0
zamora,-4.0692,-78.9567,30.0,39,5.66,40,30.0
lamu,-2.2717,40.902,27.31,80,5.08,99,27.31
mayo,38.8876,-76.5119,16.74,48,4.63,1,17.78
grabouw,-34.1515,19.0151,15.4,82,5.14,0,16.11
tsiroanomandidy,-18.7667,46.0333,20.16,79,1.44,88,20.16
kadiri,14.1167,78.1667,27.78,57,3.22,2,27.78
narasapur,16.45,81.6667,27.32,83,2.16,0,27.32
great bend,38.3645,-98.7648,15.79,58,5.14,1,18.33
morros,-9.4467,-46.3003,27.96,67,1.35,85,27.96
svetlogorsk,52.6333,29.7333,1.8,73,4.42,77,1.8
ilulissat,69.2167,-51.1,5.0,60,1.54,40,5.0
quetta,30.199,67.0097,18.72,28,2.84,0,18.72
bluff,-46.6,168.3333,9.44,80,3.13,100,9.44
yar-sale,66.8333,70.8333,-4.03,96,1.94,56,-4.03
koslan,63.4564,48.8989,7.62,65,3.08,14,7.62
alpena,45.0617,-83.4327,10.2,47,5.66,90,12.0
sao felix do xingu,-6.6447,-51.995,29.02,75,0.8,95,29.02
hornepayne,49.2138,-84.7705,-1.53,88,4.57,100,-1.53
castelbuono,37.932,14.0886,13.35,80,0.45,15,13.89
issoire,45.55,3.25,22.0,35,4.63,0,22.0
manta,-0.95,-80.7333,28.0,78,3.09,40,28.0
dhidhdhoo,6.8833,73.1,28.61,72,1.63,16,28.61
porto novo,6.4965,2.6036,30.0,74,6.17,40,30.0
cherskiy,68.75,161.3,-8.07,95,4.62,95,-8.07
hangu,39.2489,117.7892,11.0,93,2.13,93,11.0
gigmoto,13.7796,124.39,24.96,86,2.53,86,24.96
jasper,37.2001,-94.3502,15.77,72,5.66,75,16.11
maragogi,-9.0122,-35.2225,27.46,76,3.65,40,27.46
sur,22.5667,59.5289,30.46,39,5.34,1,30.46
imeni poliny osipenko,52.4201,136.4853,-2.23,58,2.8,8,-2.23
dicabisagan,17.0818,122.4157,24.45,85,2.55,93,24.45
shieli,44.1667,66.75,17.52,25,5.23,3,17.52
umm lajj,25.0213,37.2685,28.37,50,2.48,0,28.37
egvekinot,66.3167,-179.1667,-5.56,91,0.48,80,-5.56
aromashevo,56.8602,68.6375,6.43,48,3.46,100,6.43
lavrentiya,65.5833,-171.0,-2.09,88,0.57,93,-2.09
belyy yar,53.6039,91.3903,-2.0,69,3.02,99,-2.0
paraiso,9.8383,-83.8656,26.94,51,5.14,40,28.0
tingo maria,-9.2895,-76.0088,28.0,69,1.54,20,28.0
lompoc,34.6391,-120.4579,12.76,67,3.09,69,13.89
klaksvik,62.2266,-6.589,9.0,66,2.06,100,9.0
ogdensburg,44.6942,-75.4863,16.58,30,8.23,1,19.0
bomet,-0.7813,35.3416,14.74,96,1.25,100,14.74
sambava,-14.2667,50.1667,24.48,87,4.61,28,24.48
hudson bay,52.85,-102.3842,1.66,41,2.66,100,1.66
abengourou,6.7297,-3.4964,25.98,82,1.44,100,25.98
taoudenni,22.6783,-3.9836,35.4,9,4.76,2,35.4
yandyki,45.7691,47.1258,15.31,56,4.67,100,15.31
puerto ayora,-0.7393,-90.3518,26.79,74,7.2,75,27.0
inverell,-29.7833,151.1167,7.22,71,1.34,0,7.22
chokurdakh,70.6333,147.9167,-25.46,97,1.95,5,-25.46
makakilo city,21.3469,-158.0858,23.71,69,3.09,1,26.0
upernavik,72.7868,-56.1549,1.22,85,2.64,11,1.22
ust-koksa,50.2696,85.6108,-4.1,84,0.56,100,-4.1
xunchang,28.4543,104.715,18.07,93,1.53,100,18.07
seoul,37.5683,126.9778,10.33,93,1.03,0,12.0
gaozhou,21.9392,110.8461,25.28,81,4.04,100,25.28
vista hermosa,19.5167,-99.2167,25.77,18,2.06,1,26.0
cabedelo,-6.9811,-34.8339,28.0,78,5.14,75,28.0
taybad,34.74,60.7756,20.18,27,6.45,78,20.18
mataura,-46.1927,168.8643,8.89,83,2.24,86,8.89
yuanping,38.7153,112.7575,11.13,71,1.7,100,11.13
abu dhabi,24.4667,54.3667,28.0,69,3.09,0,28.0
arraial do cabo,-22.9661,-42.0278,26.0,73,5.66,20,26.0
bosaso,11.2842,49.1816,29.27,69,0.68,69,29.27
nurota,40.5614,65.6886,18.0,25,4.12,4,18.0
hualmay,-11.0964,-77.6139,22.44,72,4.79,9,22.44
kopavogur,64.1123,-21.913,8.19,76,6.17,90,8.33
hermanus,-34.4187,19.2345,16.67,81,1.34,100,16.67
betare oya,5.6,14.0833,20.74,91,2.12,100,20.74
fairbanks,64.8378,-147.7164,7.89,42,2.06,1,9.0
kodiak,57.79,-152.4072,6.0,87,1.23,90,6.0
port hueneme,34.1478,-119.1951,16.71,67,4.63,75,18.0
touros,-5.1989,-35.4608,29.0,70,7.2,40,29.0
sola,-13.8833,167.55,27.99,76,7.6,100,27.99
floro,61.5996,5.0328,4.0,56,6.17,20,4.0
port-gentil,-0.7193,8.7815,28.0,83,2.57,75,28.0
mackay,-21.15,149.2,19.78,100,2.06,90,20.0
port hardy,50.6996,-127.4199,8.61,87,1.54,90,9.0
wolfville,45.0835,-64.3655,14.16,31,7.2,78,16.11
salalah,17.0151,54.0924,27.88,75,2.88,17,27.88
hofn,64.2539,-15.2082,8.48,83,2.86,100,8.48
iwakuni,34.15,132.1833,15.0,72,3.09,40,15.0
broome,42.2506,-75.833,17.71,29,2.06,1,18.33
harbour breton,47.4833,-55.7983,3.33,92,7.44,90,3.33
tabou,4.423,-7.3528,27.83,79,4.52,92,27.83
kungurtug,50.5994,97.5228,-7.73,93,1.06,7,-7.73
verkhoyansk,67.5447,133.385,-8.24,95,2.11,100,-8.24
hamilton,39.1834,-84.5333,11.06,71,1.54,90,12.0
depok,-6.4,106.8186,26.16,75,0.72,98,27.78
varhaug,58.6147,5.6457,5.18,69,2.24,6,6.11
puerto morazan,12.8504,-87.1717,35.0,34,2.06,0,35.0
buta,2.7858,24.73,21.8,98,0.97,100,21.8
barhi,23.9,80.8,29.25,12,3.43,61,29.25
khor,47.8861,134.9464,1.05,41,4.7,2,1.05
pedernales,18.0384,-71.744,30.15,56,6.33,52,30.15
meulaboh,4.1363,96.1285,24.38,85,1.26,100,24.38
vao,-22.6667,167.4833,24.43,68,5.82,100,24.43
khatanga,71.9667,102.5,0.1,97,7.52,100,0.1
mayahi,13.9553,7.6712,32.74,16,2.9,8,32.74
grand gaube,-20.0064,57.6608,26.11,81,4.47,100,26.11
nachalovo,46.338,48.2013,15.0,63,6.0,0,15.0
urucara,-2.5364,-57.76,31.66,59,1.3,47,31.66
naze,28.3667,129.4833,17.83,70,8.54,99,17.83
puerto ayacucho,5.6639,-67.6236,32.08,54,1.2,45,32.08
mana,5.6592,-53.7767,25.83,87,5.21,100,25.83
tabas,33.5959,56.9244,28.24,13,1.89,100,28.24
ostrovnoy,68.0531,39.5131,2.33,99,2.03,100,2.33
alofi,-19.0595,-169.9187,22.0,100,0.51,87,22.0
yima,34.7381,111.8839,10.53,93,0.68,100,10.53
ust-maya,60.4167,134.5333,-8.75,97,1.58,80,-8.75
namatanai,-3.6667,152.4333,25.83,81,1.82,36,25.83
neumunster,54.0667,9.9833,9.87,40,1.54,75,11.67
lorengau,-2.0226,147.2712,27.23,76,1.96,92,27.23
vaini,-21.2,-175.2,21.0,100,2.88,20,21.0
beira,-19.8436,34.8389,23.0,83,4.02,0,23.0
bengkulu,-3.8004,102.2655,24.11,89,1.8,100,24.11
praia da vitoria,38.7333,-27.0667,16.38,77,12.7,75,17.0
kayan,16.9056,96.5631,29.0,84,2.06,40,29.0
iracoubo,5.4802,-53.2011,25.6,86,5.6,100,25.6
usinsk,65.9939,57.5281,3.37,88,3.89,99,3.37
new norfolk,-42.7826,147.0587,7.99,85,1.11,100,9.44
marsabit,2.3284,37.9899,20.63,71,4.9,100,20.63
kapoeta,4.7717,33.5903,28.99,43,1.67,98,28.99
lincoln,40.8,-96.667,13.12,47,6.17,1,14.44
sioux falls,43.55,-96.7003,8.93,20,5.14,1,9.0
rolla,37.9514,-91.7713,11.96,94,4.63,90,12.22
rosetta,31.4044,30.4164,20.0,64,2.57,0,20.0
sabha,27.0377,14.4283,27.04,22,6.81,0,27.04
apache junction,33.4151,-111.5496,28.18,17,3.6,1,30.0
bethel,41.3712,-73.414,20.35,23,3.6,1,21.0
dauphin,51.1494,-100.0502,6.0,28,8.75,20,6.0
whitianga,-36.8333,175.7,11.11,97,3.18,6,11.11
hasaki,35.7333,140.8333,8.0,100,1.54,20,8.0
winchester,51.0651,-1.3187,14.35,41,7.2,18,15.0
hay river,60.8156,-115.7999,-5.0,58,4.12,100,-5.0
jamestown,42.097,-79.2353,15.66,30,6.17,1,17.22
virginia beach,36.8529,-75.978,18.69,42,5.66,90,20.0
tura,25.5198,90.2201,24.03,35,1.57,100,24.03
carnarvon,-24.8667,113.6333,17.0,94,3.09,0,17.0
blagoyevo,63.3667,47.9167,7.89,67,3.54,42,7.89
cao bang,22.6667,106.25,24.25,97,1.71,100,24.25
ribeira grande,38.5167,-28.7,16.0,67,7.2,75,16.0
chimbote,-9.0853,-78.5783,22.06,75,4.16,21,22.06
fare,-16.7,-151.0167,26.63,72,2.91,100,26.63
ilinskiy,55.619,38.1182,3.68,87,4.0,75,4.0
villefranche-sur-saone,45.9833,4.7167,22.0,26,2.57,0,22.0
norman wells,65.282,-126.8329,1.0,47,2.57,75,1.0
andenes,69.3143,16.1194,1.48,69,5.14,20,2.22
broken hill,-31.95,141.4333,11.0,66,3.76,0,11.0
gizo,-8.103,156.8419,27.88,75,2.75,42,27.88
makungu,-8.7333,35.2833,17.84,98,1.42,98,17.84
kalulushi,-12.8378,28.0919,19.81,63,1.71,100,19.81
calvia,39.5657,2.5062,17.54,59,5.14,20,19.0
okhotsk,59.3833,143.3,-10.73,72,7.34,46,-10.73
rikitea,-23.1203,-134.9692,25.88,72,7.32,100,25.88
healdsburg,38.6105,-122.8692,14.32,67,3.09,75,15.56
bahar,34.9072,48.4414,14.43,47,0.84,0,14.43
havre-saint-pierre,50.2334,-63.5986,7.0,70,10.8,20,7.0
alberton,46.8168,-64.0654,12.0,43,7.2,91,12.0
serchhip,23.3,92.8333,15.38,37,1.47,22,15.38
sao filipe,14.8961,-24.4956,22.35,74,6.11,55,22.35
nome,64.5011,-165.4064,0.8,75,1.2,20,1.0
saint-philippe,-21.3585,55.7679,22.57,88,12.35,75,25.0
safaga,26.7292,33.9365,27.0,32,3.09,0,27.0
linqiong,30.4159,103.4609,19.0,88,1.0,40,19.0
ust-kuyga,70.0167,135.6,-5.63,95,4.38,100,-5.63
faanui,-16.4833,-151.75,26.91,73,4.33,100,26.91
los llanos de aridane,28.6585,-17.9182,18.77,38,7.2,20,23.0
lerik,38.7726,48.4128,15.0,100,3.09,75,15.0
qasigiannguit,68.8193,-51.1922,5.0,60,1.54,40,5.0
ancud,-41.8697,-73.8203,12.79,72,5.14,75,16.67
saint anthony,45.0205,-93.218,5.2,61,6.17,90,6.11
bubaque,11.2833,-15.8333,25.76,69,9.93,15,25.76
poya,-21.35,165.15,23.38,90,3.32,100,23.38
mar del plata,-38.0023,-57.5575,18.34,59,6.69,40,19.0
langxiang,46.95,128.8833,0.38,50,1.67,6,0.38
goderich,43.7501,-81.7165,14.0,35,3.09,100,14.0
angoram,-4.0625,144.0661,23.37,98,0.44,99,23.37
north bend,43.4065,-124.2243,12.01,76,4.63,90,13.33
yaan,7.3833,8.5667,27.54,69,3.16,95,27.54
namibe,-15.1961,12.1522,26.24,75,3.54,0,26.24
avarua,-21.2078,-159.775,26.0,78,5.66,20,26.0
kahului,20.8947,-156.47,21.17,100,5.66,40,22.22
qala,40.4418,50.1681,14.0,77,3.09,40,14.0
miles city,46.4083,-105.8406,9.0,40,6.17,75,9.0
castro,-24.7911,-50.0119,22.77,53,2.27,65,22.77
alice springs,-23.7,133.8833,8.0,71,3.6,0,8.0
ende,-8.8432,121.6623,24.36,86,0.74,1,24.36
avon park,27.5959,-81.5062,30.92,58,6.17,90,31.67
sitka,57.0531,-135.33,11.0,40,2.57,1,11.0
daru,-9.0763,143.2092,25.11,91,3.28,100,25.11
great yarmouth,52.6083,1.7305,7.65,71,4.63,0,8.0
kaeo,-35.1,173.7833,12.22,95,1.34,21,12.22
torbay,47.6666,-52.7314,10.71,35,11.32,40,12.0
thompson,55.7435,-97.8558,-4.0,50,1.03,75,-4.0
auki,-8.7676,160.7034,25.03,86,1.31,76,25.03
ariquemes,-9.9133,-63.0408,28.43,86,0.76,56,28.43
changying,52.8733,123.3213,-4.26,91,1.5,12,-4.26
collie,-33.3667,116.15,11.11,89,0.56,0,11.11
praya,14.9215,-23.5087,24.0,57,8.75,75,24.0
challapata,-18.9,-66.7667,13.65,17,7.01,1,13.65
nantucket,41.2835,-70.0995,15.0,47,7.72,1,15.0
morondava,-20.2833,44.2833,25.98,78,5.39,0,25.98
ojuelos de jalisco,21.8667,-101.5833,25.65,10,3.6,90,25.65
san carlos de bariloche,-41.1456,-71.3082,16.67,38,3.6,0,18.89
rio gallegos,-51.6226,-69.2181,16.0,36,3.09,0,16.0
springdale,36.1867,-94.1288,13.87,100,5.14,90,14.44
rudnogorsk,57.2639,103.7519,-0.15,99,1.92,100,-0.15
santa cruz,-17.8,-63.1667,19.62,94,1.03,90,20.0
morehead,37.2711,-87.1764,11.07,93,3.6,90,11.11
san luis,-33.295,-66.3356,20.17,41,5.21,4,20.17
goure,13.9835,10.2704,33.28,15,4.28,0,33.28
edson,53.5835,-116.4356,4.0,30,1.54,20,4.0
jackson,42.4165,-122.8345,12.46,66,2.52,75,13.89
la primavera,5.4906,-70.4092,37.16,30,4.5,40,37.16
kempele,64.9131,25.5034,2.66,81,4.63,90,3.0
butaritari,3.0707,172.7902,28.04,76,5.42,52,28.04
coihaique,-45.5752,-72.0662,13.0,67,1.54,75,13.0
saint-leu,-21.15,55.2833,22.62,88,12.35,75,25.0
tautira,-17.7333,-149.15,27.34,69,3.09,75,28.0
cabo san lucas,22.8909,-109.9124,26.04,41,5.14,1,29.0
vardo,70.3705,31.1107,0.96,87,10.17,100,0.96
nara,34.6851,135.8049,12.89,70,0.24,14,15.56
geraldton,-28.7667,114.6,15.0,94,1.54,91,15.0
inhambupe,-11.7844,-38.3531,27.61,72,3.9,52,27.61
quimperle,47.8667,-3.55,21.0,37,4.12,0,21.0
impfondo,1.6381,18.0667,25.84,69,2.15,100,25.84
slidell,30.2752,-89.7812,27.84,65,5.66,75,29.0
douentza,14.9951,-2.9517,35.45,7,2.57,26,35.45
yellowknife,62.456,-114.3525,-8.46,57,5.66,75,-7.22
galveston,29.3669,-94.9669,29.15,42,4.63,1,31.0
vestmannaeyjar,63.4427,-20.2734,7.0,87,8.75,90,7.0
bar-le-duc,48.75,5.1667,19.0,30,4.63,0,19.0
poum,-20.2333,164.0167,25.75,81,6.81,100,25.75
akyab,20.15,92.9,27.02,76,4.59,87,27.02
rawson,-43.3002,-65.1023,15.84,45,0.33,14,15.84
beringovskiy,63.05,179.3167,-0.96,94,2.63,100,-0.96
pacific grove,36.6177,-121.9166,14.11,55,3.09,40,16.0
los arabos,22.7281,-80.7214,35.19,25,5.44,98,35.19
keflavik,64.0049,-22.5624,7.37,93,10.29,90,8.0
santa ines,-3.6667,-45.38,28.93,78,2.25,84,28.93
aleppo,36.25,37.5,22.4,34,2.89,1,22.4
grand forks,47.9417,-97.4337,4.72,24,3.09,75,5.0
talnakh,69.4865,88.3972,-0.88,97,6.13,100,-0.88
taltal,-25.4,-70.4833,18.18,71,2.13,49,18.18
bathsheba,13.2167,-59.5167,29.0,58,8.75,40,29.0
chiplun,17.5333,73.5167,24.73,63,1.01,1,24.73
cidreira,-30.1811,-50.2056,23.12,72,5.57,8,23.12
flin flon,54.7682,-101.865,-2.0,40,2.57,75,-2.0
tasiilaq,65.6145,-37.6368,3.0,75,2.06,75,3.0
leh,34.1667,77.5833,-2.54,29,1.09,5,-2.54
port hedland,-20.3167,118.5667,20.0,64,3.6,0,20.0
nanortalik,60.1432,-45.2371,5.48,74,3.62,100,5.48
victoria point,-27.5833,153.3,13.65,81,2.62,45,15.0
lagoa,39.05,-27.9833,14.92,83,12.03,35,14.92
kavieng,-2.5744,150.7967,27.01,79,3.27,48,27.01
plymouth,41.8334,-70.8328,21.86,20,8.23,20,23.0
petropavlovsk-kamchatskiy,53.0452,158.6483,1.0,100,3.0,90,1.0
itoman,26.1247,127.6694,19.02,83,3.6,20,20.0
dingle,10.9995,122.6711,24.48,85,0.5,100,24.48
codajas,-3.8367,-62.0569,31.08,64,1.21,75,31.08
cayenne,4.9333,-52.3333,26.06,89,3.09,75,26.11
normandin,48.8333,-72.5321,14.37,28,6.17,85,15.0
puerto carreno,6.189,-67.4859,34.69,42,3.72,88,34.69
udankudi,8.4333,78.0167,28.8,75,3.66,100,28.8
saint george,37.1041,-113.5841,25.45,17,0.89,100,25.56
quatre cocos,-20.2078,57.7625,26.06,83,7.72,75,26.11
constitucion,-35.3333,-72.4167,18.39,57,7.27,6,18.39
akureyri,65.6835,-18.0878,11.0,62,4.63,0,11.0
tuktoyaktuk,69.4541,-133.0374,-5.0,80,3.09,40,-5.0
tigil,57.8,158.6667,-2.33,97,1.76,100,-2.33
deputatskiy,69.3,139.9,-13.71,85,1.52,100,-13.71
ulukulevo,54.4355,56.3221,5.77,100,4.0,90,6.0
paita,-5.0892,-81.1144,29.0,54,7.2,0,29.0
bhayavadar,21.85,70.25,28.61,55,2.13,100,28.61
sikasso,10.9167,-7.0,34.8,25,1.11,82,34.8
marzuq,14.4,46.4667,22.03,69,3.16,28,22.03
tiksi,71.6872,128.8694,-0.86,93,4.97,100,-0.86
chuy,-33.6971,-53.4616,21.88,72,2.85,100,21.88
ushuaia,-54.8,-68.3,13.0,58,5.66,75,13.0
hobyo,5.3505,48.5268,29.0,69,5.74,55,29.0
corn island,12.1694,-83.0418,27.38,64,4.66,14,27.38
tacoronte,28.4769,-16.4102,19.11,77,6.69,75,20.56
ugoofaaru,5.6667,73.0,28.71,72,2.43,50,28.71
muriti,-1.9833,32.9167,22.39,74,2.2,72,22.39
leningradskiy,69.3833,178.4167,-5.28,91,2.29,100,-5.28
inhambane,-23.865,35.3833,22.2,79,3.65,0,22.2
kasempa,-13.4584,25.8338,21.27,58,1.74,100,21.27
saskylakh,71.9167,114.0833,-0.24,92,5.38,96,-0.24
haines junction,60.7522,-137.5108,6.0,39,1.03,15,6.0
kamenka,51.3223,42.7678,5.56,79,5.99,7,5.56
alta floresta,-9.8756,-56.0861,30.0,66,1.03,40,30.0
east london,-33.0153,27.9116,18.0,88,2.57,0,18.0
tromso,69.6496,18.957,0.76,55,4.12,75,1.0
kalmunai,7.4167,81.8167,26.71,76,0.85,18,26.71
georgetown,5.4112,100.3354,27.05,89,1.54,40,27.78
qaanaaq,77.484,-69.3632,-2.37,69,2.9,93,-2.37
buala,-8.145,159.5921,26.34,82,1.25,76,26.34
medea,36.2642,2.7539,19.0,77,4.63,75,19.0
tuatapere,-46.1333,167.6833,8.89,83,2.24,100,8.89
kapaa,22.0752,-159.319,23.64,73,7.2,40,24.0
okitipupa,6.5047,4.7839,25.77,88,1.45,100,25.77
aykhal,66.0,111.5,-6.65,96,2.79,100,-6.65
guerrero negro,27.9769,-114.0611,19.53,57,6.73,3,19.53
kirakira,-10.4544,161.9205,26.02,82,1.23,100,26.02
alcantara,-2.4089,-44.4147,26.0,94,2.06,75,26.0
guane,22.2025,-84.0875,31.52,47,6.69,96,31.52
prykolotne,50.1604,37.3474,3.11,63,4.86,0,3.11
hilo,19.7297,-155.09,20.08,83,3.09,90,22.0
shenjiamen,29.9576,122.298,16.11,89,2.48,99,16.11
dunedin,-45.8742,170.5036,9.44,80,2.68,100,9.44
birjand,32.8663,59.2211,20.0,14,7.2,0,20.0
hobart,-42.8794,147.3294,9.01,71,3.6,75,9.44
dakar,14.6937,-17.4441,22.0,83,6.17,20,22.0
karratha,-20.7377,116.8463,26.01,35,3.69,0,26.01
bairiki,1.3292,172.9752,26.0,89,2.06,75,26.0
guantanamo,20.1444,-75.2092,30.0,66,5.66,75,30.0
la asuncion,11.0333,-63.8628,24.0,88,10.8,100,24.0
valdosta,30.8327,-83.2785,17.0,100,10.46,90,17.0
brae,60.3964,-1.353,7.0,76,4.63,71,7.0
port elizabeth,-33.918,25.5701,15.0,94,3.09,0,15.0
